0,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,8,8.25,8.5,8.75,9,9.25,9.5,9.75,10,10.25,10.5,10.75,11,11.25,11.5,11.75,12,12.25,12.5,12.75,13,13.25,13.5,13.75,14,14.25,14.5,14.75,15,15.25,15.5,15.75,16,16.25,16.5,16.75,17,17.25,17.5,17.75,18,18.25,18.5,18.75,19,19.25,19.5,19.75,20,20.25,20.5,20.75,21,21.25,21.5,21.75,22,22.25,22.5,22.75,23,23.25,23.5,23.75
-102.45 ,-91.46 ,-87.11 ,-79.00 ,-77.85 ,-73.45 ,-75.23 ,-72.09 ,-74.18 ,-72.75 ,-77.14 ,-71.42 ,-71.76 ,-70.71 ,-71.95 ,-68.88 ,-69.77 ,-66.64 ,-71.32 ,-68.39 ,-69.61 ,-66.16 ,-66.95 ,-65.64 ,-68.07 ,-66.07 ,-69.42 ,-69.40 ,-70.41 ,-74.27 ,-89.50 ,-83.10 ,-73.22 ,-63.79 ,-54.96 ,-47.16 ,-27.05 ,-9.00 ,11.59 ,28.74 ,44.75 ,58.13 ,79.84 ,95.73 ,112.15 ,127.88 ,136.47 ,142.64 ,149.22 ,146.28 ,151.00 ,158.23 ,168.25 ,178.96 ,187.27 ,187.22 ,180.48 ,164.18 ,169.22 ,163.82 ,158.27 ,156.34 ,153.37 ,138.85 ,128.38 ,113.38 ,100.38 ,71.60 ,49.96 ,20.42 ,10.09 ,-4.66 ,-23.84 ,-49.01 ,-60.72 ,-67.11 ,-75.49 ,-92.86 ,-100.82 ,-120.01 ,-134.12 ,-129.37 ,-134.13 ,-138.70 ,-140.05 ,-138.29 ,-141.07 ,-135.17 ,-136.27 ,-129.70 ,-133.72 ,-131.62 ,-131.20 ,-125.99 ,-120.60 ,-106.98 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average data of quartile 3 per hour of a day. Energy in Wh per 15 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data starts at 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
